config_tag,config_label,smooth_weight,max_disp_norm,subject,initial_stage,input_size,iterations,transformer_depth,transformer_heads,initial_dice,baseline_dice,voxelmorph_selected_dice,transmorph_dice,transmorph_minus_baseline,transmorph_minus_voxelmorph,flow_mean_px,flow_p95_px,flow_max_px,flow_smoothness_px,jacobian_det_min,jacobian_det_p01,jacobian_det_negative_fraction,quality_status
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.4,0.12,SB012,rigid,192,140,2,4,0.9260444903563353,0.9702977049368624,0.992488,0.9914468366257582,0.02114913168889576,-0.0010411633742418713,12.925076484680176,48.215217971801756,49.97645568847656,0.5600823760032654,-8.114072799682617,-0.13130183637142182,0.023030980105701888,acceptable_exploratory
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.4,0.12,SB013,affine,192,140,2,4,0.9414837224937295,0.9839331152308252,0.996343,0.9961569659977926,0.012223850766967415,-0.00018603400220740252,9.899541854858398,24.39436435699463,33.15690231323242,0.6048228740692139,-4.057581424713135,-0.0001863685436546816,0.010014708224426894,acceptable_exploratory
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.4,0.12,SB017,rigid,192,140,2,4,0.608630797966172,0.608630797966172,0.846986,0.8459413263386474,0.23731052837247535,-0.0010446736613526353,27.857501983642578,45.88877487182617,45.93193435668945,1.26250159740448,-30.603368759155273,-1.6347787594795227,0.15368178329563473,reject_as_final
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.4,0.12,SB018,rigid,192,140,2,4,0.8385216845033766,0.976882042029085,0.950115,0.9492009900361744,-0.0276810519929106,-0.0009140099638256238,19.417028427124023,45.074989318847656,45.08066177368164,0.8301397562026978,-170.10671997070312,-0.47101031482219696,0.043648027265493515,not_better_than_baseline
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.4,0.12,SB019,rigid,192,140,2,4,0.8520236687494607,0.9709685703398114,0.96715,0.9660932524878889,-0.004875317851922523,-0.0010567475121110448,16.481416702270508,46.60345897674561,46.77486801147461,0.9345269799232483,-23.623878479003906,-1.6490975284576417,0.08705751488582085,needs_review
tm_s040_d012,"smooth=0.40, max_disp=0.12",0.4,0.12,SB020,affine,192,140,2,4,0.8899381721611817,0.9650062303447458,0.980599,0.9800546461735191,0.015048415828773365,-0.0005443538264808812,18.382781982421875,43.8816276550293,44.18528366088867,0.8069633841514587,-8.088218688964844,-0.3569483345746994,0.03769149293445968,acceptable_exploratory
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.6,0.1,SB012,rigid,192,140,2,4,0.9260444903563353,0.9702977049368624,0.992488,0.9882243318062225,0.017926626869360085,-0.004263668193777548,10.857114791870117,41.26074104309082,41.690940856933594,0.5196917653083801,-10.676087379455566,-0.3063518476486206,0.030865523711310676,acceptable_exploratory
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.6,0.1,SB013,affine,192,140,2,4,0.9414837224937295,0.9839331152308252,0.996343,0.9958886065170244,0.011955491286199216,-0.00045439348297560134,9.063081741333008,24.80003786087036,32.13459396362305,0.5552816987037659,-4.131904125213623,-0.02915288526564837,0.011443373335956457,acceptable_exploratory
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.6,0.1,SB017,rigid,192,140,2,4,0.608630797966172,0.608630797966172,0.846986,0.8155022075055187,0.20687140953934668,-0.0314837924944813,22.508922576904297,38.249000549316406,38.27710723876953,1.0692148208618164,-57.88177490234375,-1.1660471367835998,0.12673151501012622,reject_as_final
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.6,0.1,SB018,rigid,192,140,2,4,0.8385216845033766,0.976882042029085,0.950115,0.9398383164378288,-0.03704372559125624,-0.010276683562171263,16.384719848632812,37.5618782043457,37.56721878051758,0.8611440062522888,-80.3015365600586,-0.8529052853584289,0.05436550689735302,needs_review
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.6,0.1,SB019,rigid,192,140,2,4,0.8520236687494607,0.9709685703398114,0.96715,0.9566279806045564,-0.014340589735254983,-0.010522019395443505,15.20965576171875,38.88310642242432,38.978939056396484,0.834943413734436,-16.849658966064453,-1.1539307856559753,0.076081266766996,needs_review
tm_s060_d010,"smooth=0.60, max_disp=0.10",0.6,0.1,SB020,affine,192,140,2,4,0.8899381721611817,0.9650062303447458,0.980599,0.974063444070764,0.009057213726018198,-0.006535555929236048,13.784513473510742,36.71046676635742,36.82106399536133,0.7673395872116089,-15.074894905090332,-0.29635524451732637,0.026579274661116092,acceptable_exploratory
tm_s100_d008,"smooth=1.00, max_disp=0.08",1.0,0.08,SB012,rigid,192,140,2,4,0.9260444903563353,0.9702977049368624,0.992488,0.9814027138651629,0.011105008928300464,-0.011085286134837169,9.47796630859375,33.21831359863281,33.37705612182617,0.43572014570236206,-6.371097564697266,-0.24407925009727477,0.022140105128976354,acceptable_exploratory
tm_s100_d008,"smooth=1.00, max_disp=0.08",1.0,0.08,SB013,affine,192,140,2,4,0.9414837224937295,0.9839331152308252,0.996343,0.995614792765737,0.011681677534911783,-0.0007282072342630341,8.01864242553711,21.839526653289795,26.37909507751465,0.4854657053947449,-2.1120095252990723,0.061687934771180154,0.006351704561423231,acceptable_exploratory
tm_s100_d008,"smooth=1.00, max_disp=0.08",1.0,0.08,SB017,rigid,192,140,2,4,0.608630797966172,0.608630797966172,0.846986,0.7799804376506984,0.17134963968452632,-0.06700556234930166,17.895465850830078,30.593233108520508,30.62168312072754,0.8625955581665039,-12.007636070251465,-0.7944645392894746,0.09283320992538045,needs_review
tm_s100_d008,"smooth=1.00, max_disp=0.08",1.0,0.08,SB018,rigid,192,140,2,4,0.8385216845033766,0.976882042029085,0.950115,0.9266716742603619,-0.05021036776872312,-0.023443325739638143,14.721309661865234,30.046833038330078,30.05377197265625,0.6979856491088867,-43.92100524902344,-0.5543988740444183,0.03978917126138116,not_better_than_baseline
tm_s100_d008,"smooth=1.00, max_disp=0.08",1.0,0.08,SB019,rigid,192,140,2,4,0.8520236687494607,0.9709685703398114,0.96715,0.9441519970915412,-0.026816573248270248,-0.02299800290845877,12.959936141967773,31.14266996383667,31.183002471923828,0.7434861063957214,-15.692037582397461,-0.7480611741542815,0.05740037950664137,needs_review
tm_s100_d008,"smooth=1.00, max_disp=0.08",1.0,0.08,SB020,affine,192,140,2,4,0.8899381721611817,0.9650062303447458,0.980599,0.9667200290884116,0.0017137987436658397,-0.013878970911588406,15.483529090881348,29.42844161987305,29.45684814453125,0.5845886468887329,-2.187075138092041,-0.1592712590098381,0.01981820396142647,acceptable_exploratory
